track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0xPAe3zYQxVoUxEYiawPvO,0.777,0.526,2.0,-6.221,1.0,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,3p7XQpdt8Dr6oMXSvRZ9bg,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,https://api.spotify.com/v1/tracks/3p7XQpdt8Dr6oMXSvRZ9bg,https://api.spotify.com/v1/audio-analysis/3p7XQpdt8Dr6oMXSvRZ9bg,194849.0,4.0
3p7XQpdt8Dr6oMXSvRZ9bg,0.623,0.655,6.0,-3.238,1.0,0.0619,0.107,0.0,0.102,0.632,80.965,audio_features,2RO4aPByijQUqBZhYm1apz,spotify:track:2RO4aPByijQUqBZhYm1apz,https://api.spotify.com/v1/tracks/2RO4aPByijQUqBZhYm1apz,https://api.spotify.com/v1/audio-analysis/2RO4aPByijQUqBZhYm1apz,200707.0,4.0
2RO4aPByijQUqBZhYm1apz,0.618,0.615,2.0,-8.71,1.0,0.0724,0.172,1.11e-05,0.0821,0.437,143.09,audio_features,5UqTWnG7YZAbj1SYMvnGsU,spotify:track:5UqTWnG7YZAbj1SYMvnGsU,https://api.spotify.com/v1/tracks/5UqTWnG7YZAbj1SYMvnGsU,https://api.spotify.com/v1/audio-analysis/5UqTWnG7YZAbj1SYMvnGsU,196227.0,4.0
5UqTWnG7YZAbj1SYMvnGsU,0.482,0.43,10.0,-7.224,1.0,0.0481,0.763,2.79e-06,0.344,0.113,143.23,audio_features,5dXiKFepHXZktud7z5635H,spotify:track:5dXiKFepHXZktud7z5635H,https://api.spotify.com/v1/tracks/5dXiKFepHXZktud7z5635H,https://api.spotify.com/v1/audio-analysis/5dXiKFepHXZktud7z5635H,234760.0,4.0
5dXiKFepHXZktud7z5635H,0.661,0.425,4.0,-11.185,0.0,0.0372,0.2,0.0,0.104,0.252,115.923,audio_features,3PqAQRlPl0yOnqqcB6Y5Cw,spotify:track:3PqAQRlPl0yOnqqcB6Y5Cw,https://api.spotify.com/v1/tracks/3PqAQRlPl0yOnqqcB6Y5Cw,https://api.spotify.com/v1/audio-analysis/3PqAQRlPl0yOnqqcB6Y5Cw,217413.0,4.0
3PqAQRlPl0yOnqqcB6Y5Cw,0.798,0.496,3.0,-5.825,1.0,0.106,0.539,1.21e-06,0.325,0.448,111.055,audio_features,0ELnNmc1vQFW3aPEzQ5zOg,spotify:track:0ELnNmc1vQFW3aPEzQ5zOg,https://api.spotify.com/v1/tracks/0ELnNmc1vQFW3aPEzQ5zOg,https://api.spotify.com/v1/audio-analysis/0ELnNmc1vQFW3aPEzQ5zOg,184650.0,4.0
0ELnNmc1vQFW3aPEzQ5zOg,0.553,0.479,9.0,-10.632,1.0,0.198,0.0965,4.96e-06,0.127,0.389,179.986,audio_features,3KFwWrpeAxNFnu7ruKfZr8,spotify:track:3KFwWrpeAxNFnu7ruKfZr8,https://api.spotify.com/v1/tracks/3KFwWrpeAxNFnu7ruKfZr8,https://api.spotify.com/v1/audio-analysis/3KFwWrpeAxNFnu7ruKfZr8,183000.0,3.0
3KFwWrpeAxNFnu7ruKfZr8,0.368,0.314,0.0,-8.491,1.0,0.0316,0.796,1.69e-06,0.126,0.371,109.143,audio_features,3DXEbjIftmPeBj638CxyJD,spotify:track:3DXEbjIftmPeBj638CxyJD,https://api.spotify.com/v1/tracks/3DXEbjIftmPeBj638CxyJD,https://api.spotify.com/v1/audio-analysis/3DXEbjIftmPeBj638CxyJD,171663.0,4.0
3DXEbjIftmPeBj638CxyJD,0.663,0.251,6.0,-9.87,0.0,0.0435,0.88,0.0,0.0932,0.528,90.272,audio_features,4VtRHZ4tBDHaWltVAytlLY,spotify:track:4VtRHZ4tBDHaWltVAytlLY,https://api.spotify.com/v1/tracks/4VtRHZ4tBDHaWltVAytlLY,https://api.spotify.com/v1/audio-analysis/4VtRHZ4tBDHaWltVAytlLY,215000.0,4.0
4VtRHZ4tBDHaWltVAytlLY,0.611,0.602,5.0,-4.89,1.0,0.0437,0.000837,0.0,0.112,0.624,168.154,audio_features,3T4UodGkfZObJ43RtA5KFU,spotify:track:3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/tracks/3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/audio-analysis/3T4UodGkfZObJ43RtA5KFU,148460.0,4.0
